current_belt;gender;training_years;favourite;white_blue;blue_purple;purple_brown;brown_black;training_per_week;both_gi_nogi;gi_or_no_gi;training_time;travel;how_old_when_started;mobility_exercises;yoga;preferred_style;have_fav_athlete;leg_lock_friendly;gym_self_defense;membership;gym_curriculum;time_watching_bjj;do_watch_sport_bjj;num_gis;num_rashguards;num_shorts;bjj_apparel;money_for_gear;education;income;age;age_cat;race;nationality;country;instrutor_encourages_competition;competed;choke
purple belt;Male; 4-6 years;the environment that perfectly combines intensity and relaxation; 0-2 years; 0-2 years;no answer;no answer;5-6 times;Yes;Gi;Evening;Yes;'16-20';Yes;No;Open Guard;Yes;Only at certain belt levels;not a focus;$ 0-50;No;2 hours - 3 hours;Yes;'1-2';'1-2';'1-2';No;$ 0-50;Bachelor's Degree;$ 0-25K;22;20-25;White/Caucasian;american;USA;Yes;Yes;No
blue belt;Male; 0-2 years;being in the present moment; 0-2 years;no answer;no answer;no answer;1-2 times;Yes;no answer;Morning;Yes;'31-35';Yes;Yes;Open Guard;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;1 hour -2 hours;Yes;'1-2';'1-2';'1-2';Yes;$ 51-100;Associate's Degree;$ 51k-75K;35;35-40;Hispanic/Latino;no answer;no answer;Yes;No;Yes
purple belt;Male; 6-8 years;problem solving acquiring skills; 2-4 years; 2-4 years;no answer;no answer;1-2 times;Yes;Gi;Lunch;No;'21-25';Yes;No;Open Guard;Yes;Only at certain belt levels;not a focus;$101-200;Yes;0-1 hour;No;'5-6';'5-6';'3-4';Yes;$ 51-100;High School/GED;$ 76K-100K;32;30-35;Asian/Pacific Islander;Australian;Australia;Yes;Yes;Yes
blue belt;Male; 2-4 years;when i m training that s all i am doing at that moment just training and hanging out with my pals the stuff that stresses me is not there and by the time i get out of training i feel refreshed and ready to handle said stressful stuff; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;no answer;Evening;No;'21-25';No;No;Closed guard;No;Yes;one of the focuses;$ 51-100;Yes;1 hour -2 hours;Yes;'3-4';'3-4';no answer;Yes;no answer;Bachelor's Degree;no answer;27;25-30;White/Caucasian;American;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;learning new things and working on getting better;no answer;no answer;no answer;no answer;5-6 times;Yes;Gi;Evening;Yes;'21-25';Yes;Yes;Pressure Passing;Yes;Yes;one of the focuses;$101-200;Yes;2 hours - 3 hours;Yes;'1-2';'1-2';'1-2';No;$ 51-100;Associate's Degree;$ 0-25K;22;20-25;Asian/Pacific Islander;Filipino;Phillipines;Yes;No;No
purple belt;Male; 4-6 years;it s fun; 0-2 years; 0-2 years;no answer;no answer;3-4 times;No;Gi;Morning;Yes;'26-30';No;No;Open Guard;Yes;Only at certain belt levels;not a focus;$101-200;No;2 hours - 3 hours;Yes;'5-6';'5-6';'3-4';Yes;$301-400;Other;$ 51k-75K;31;30-35;White/Caucasian;Australian;Australia;Yes;Yes;Yes
white belt;Male; 0-2 years;i can t say exactly training itself is my favorite thing i can t isolate one thing over the other;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;No;'31-35';Yes;No;Open Guard;Yes;Only at certain belt levels;one of the focuses;$ 51-100;No;1 hour -2 hours;Yes;'1-2';'1-2';'1-2';No;$ 0-50;Associate's Degree;$ 51k-75K;32;30-35;White/Caucasian;USA;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;right now learning new things and the people i train with;no answer;no answer;no answer;no answer;5-6 times;No;Gi;Lunch;Yes;'36-40';Yes;Yes;Open Guard;No;Only at certain belt levels;one of the focuses;$ 51-100;No;1 hour -2 hours;No;'1-2';'1-2';'1-2';No;$301-400;Master's Degree;$ 26K-50K;36;35-40;White/Caucasian;USA;USA;Yes;No;Yes
blue belt;Male; 2-4 years;i love the comradery i love the people i roll with; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'31-35';Yes;No;Pressure Passing;Yes;Yes;one of the focuses;$ 51-100;No;0-1 hour;Yes;'3-4';'5-6';'3-4';Yes;$201-300;Associate's Degree;$ 51k-75K;34;30-35;White/Caucasian;American;USA;Yes;Yes;Yes
blue belt;Male; 0-2 years;when the lightbulb goes off about a concept or theory and i gain a better understanding; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'26-30';No;No;Open Guard;Yes;Yes;one of the focuses;$ 51-100;No;1 hour -2 hours;Yes;'3-4';'3-4';'3-4';Yes;$401-500;Bachelor's Degree;$ 51k-75K;31;30-35;White/Caucasian;American;USA;Yes;Yes;Yes
blue belt;Male; 0-2 years;sparring; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;no answer;Morning;Yes;'36-40';Yes;Yes;Open Guard;No;Only at certain belt levels;one of the focuses;$101-200;Yes;2 hours - 3 hours;Yes;'1-2';'5-6';'3-4';No;$101-200;High School/GED;$ 0-25K;39;35-40;White/Caucasian;no answer;no answer;Yes;Yes;No
purple belt;Male; 2-4 years;cerebral rolling; 0-2 years;no answer;no answer;no answer;5-6 times;Yes;Gi;Morning;Yes;'21-25';Yes;No;no answer;Yes;Yes;one of the focuses;$ 51-100;No;1 hour -2 hours;Yes;'3-4';'3-4';'1-2';No;$ 51-100;Bachelor's Degree;$ 0-25K;27;25-30;White/Caucasian;Scottish;UK;Yes;Yes;Yes
blue belt;Male; 2-4 years;getting more efficient; 0-2 years;no answer;no answer;no answer;5-6 times;No;Gi;Morning;Yes;'31-35';No;No;Open Guard;Yes;Only at certain belt levels;not a focus;$ 0-50;No;1 hour -2 hours;Yes;'3-4';'1-2';'1-2';No;$201-300;Bachelor's Degree;$ 26K-50K;35;35-40;White/Caucasian;u.s.;USA;Yes;Yes;Yes
blue belt;Male; 2-4 years;when the technique finally clicks; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'21-25';No;No;Open Guard;Yes;Yes;not a focus;$101-200;No;2 hours - 3 hours;Yes;'3-4';'1-2';'1-2';No;$201-300;Bachelor's Degree;$ 76K-100K;27;25-30;White/Caucasian;no answer;no answer;Yes;Yes;Yes
brown belt;Male; 8-10 years;no answer; 0-2 years; 0-2 years; 2-4 years;no answer;1-2 times;Yes;Gi;Evening;Yes;'16-20';No;No;Closed guard;No;Only at certain belt levels;not a focus;no answer;No;0-1 hour;No;'5-6';'3-4';'1-2';No;no answer;Bachelor's Degree;no answer;28;25-30;White/Caucasian;no answer;no answer;Yes;Yes;no answer
white belt;Male; 0-2 years;that rolling incorporates strength flexibility and conditioning all in one;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Morning;No;'26-30';Yes;No;Pressure Passing;Yes;Yes;one of the focuses;$101-200;No;1 hour -2 hours;No;'1-2';'1-2';'1-2';No;$101-200;Bachelor's Degree;$ 26K-50K;28;25-30;White/Caucasian;French/English/Irish/Scottish;France;Yes;No;Yes
white belt;Male; 0-2 years;social aspect and regular rolls;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Evening;Yes;'16-20';No;No;Leg locking;Yes;Yes;one of the focuses;$ 0-50;No;1 hour -2 hours;Yes;'1-2';'1-2';'1-2';No;$ 51-100;High School/GED;$ 0-25K;18;15-20;Asian/Pacific Islander;English ;UK;Yes;No;Yes
white belt;Male; 0-2 years;the human physical chess aspect and learning new stuff;no answer;no answer;no answer;no answer;1-2 times;Yes;No-gi;Morning;No;'26-30';Yes;No;Pressure Passing;Yes;Only at certain belt levels;not a focus;$101-200;No;0-1 hour;Yes;'1-2';'3-4';'3-4';Yes;$ 0-50;Associate's Degree;$ 51k-75K;30;30-35;Black/African American;American;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;rolling;no answer;no answer;no answer;no answer;1-2 times;Yes;Gi;Lunch;No;'36-40';No;No;Open Guard;No;Yes;one of the focuses;$ 51-100;No;3+ hours;Yes;'1-2';'1-2';no answer;No;$101-200;Bachelor's Degree;$ 0-25K;38;35-40;White/Caucasian;no answer;no answer;No;Yes;Yes
white belt;Female; 0-2 years;the comraderie with my training partners;no answer;no answer;no answer;no answer;5-6 times;Yes;Gi;Evening;Yes;'21-25';No;No;Pressure Passing;Yes;Only at certain belt levels;one of the focuses;$101-200;No;3+ hours;Yes;'7+';'7+';'3-4';Yes;$600+;High School/GED;$ 26K-50K;24;20-25;White/Caucasian;USA;USA;Yes;Yes;No
blue belt;Male; 6-8 years;keeping healthy; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;No;'16-20';Yes;Yes;Leg locking;No;Yes;one of the focuses;$101-200;Yes;1 hour -2 hours;Yes;'1-2';'3-4';'1-2';No;$ 51-100;Master's Degree;$ 76K-100K;no answer;no answer;White/Caucasian;no answer;no answer;No;Yes;No
purple belt;Male; 4-6 years;live training; 0-2 years; 0-2 years;no answer;no answer;3-4 times;Yes;Gi;Morning;No;'40+';No;No;Closed guard;Yes;Only at certain belt levels;not a focus;$101-200;No;1 hour -2 hours;Yes;'5-6';'5-6';'1-2';No;$201-300;Associate's Degree;$100K+;45;45-50;White/Caucasian;American;USA;Yes;Yes;Yes
purple belt;Male; 6-8 years;camaraderie and the great exercise; 0-2 years; 2-4 years;no answer;no answer;3-4 times;No;Gi;Morning;Yes;'36-40';Yes;No;Closed guard;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;0-1 hour;Yes;'3-4';'1-2';'1-2';Yes;$201-300;Master's Degree;$100K+;45;45-50;White/Caucasian;"Italian; Irish";Ireland;Yes;Yes;No
black belt;Male; 8-10 years;rolling; 2-4 years; 0-2 years; 2-4 years; 2-4 years;1-2 times;Yes;Gi;Morning;No;'26-30';Yes;Yes;Leg locking;Yes;Yes;one of the focuses;$ 51-100;No;2 hours - 3 hours;Yes;'3-4';'3-4';'1-2';No;$ 51-100;Bachelor's Degree;$ 76K-100K;37;35-40;White/Caucasian;US Citizen;USA;Yes;Yes;No
white belt;Female; 2-4 years;the weird and wonderful things you can do with the human body;no answer;no answer;no answer;no answer;5-6 times;Yes;no answer;Morning;Yes;'26-30';Yes;Yes;Leg locking;No;Only at certain belt levels;not a focus;$101-200;No;0-1 hour;Yes;'5-6';'7+';'3-4';No;$201-300;Master's Degree;$ 51k-75K;31;30-35;White/Caucasian;USA;USA;Yes;Yes;No
brown belt;Male; 8-10 years;chaining movements together with a fully resistant partner; 2-4 years; 0-2 years; 2-4 years;no answer;3-4 times;Yes;Gi;Evening;Yes;'21-25';No;No;Open Guard;No;Yes;one of the focuses;$ 0-50;No;0-1 hour;No;'7+';'1-2';'7+';No;$401-500;Master's Degree;$ 76K-100K;34;30-35;White/Caucasian;United States;USA;Yes;Yes;Yes
white belt;Female; 0-2 years;being in control;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'36-40';no answer;No;Closed guard;Yes;Only at certain belt levels;one of the focuses;$ 51-100;No;0-1 hour;Yes;'1-2';'1-2';no answer;Yes;$101-200;Associate's Degree;$100K+;42;40-45;White/Caucasian;German/Polish;Germany;Yes;No;Yes
white belt;Male; 0-2 years;everything warm ups technique drilling sparring rolling;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Morning;No;'16-20';No;Yes;Open Guard;Yes;Yes;one of the focuses;$101-200;No;2 hours - 3 hours;Yes;'3-4';'1-2';'1-2';Yes;$ 51-100;High School/GED;$ 0-25K;22;20-25;White/Caucasian;USA;USA;Yes;Yes;Yes
blue belt;Male; 4-6 years;one black belt we have is very well studied in bjj he actually plans a class and creates a set of moves that work in concert we build moves together and in the end it is easy to see how they relate and work together by the end you have a complete setup attack finish with alternates i appreciate his efforts much more than others that come in and just pick something to do and bounce from move to move with zero cohesion; 2-4 years;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'36-40';No;No;Open Guard;Yes;Only at certain belt levels;not a focus;$101-200;Yes;1 hour -2 hours;Yes;'3-4';'1-2';no answer;No;$101-200;Bachelor's Degree;$ 51k-75K;42;40-45;White/Caucasian;no answer;no answer;Yes;No;No
blue belt;Male; 8-10 years;everything; 8-10 years;no answer;no answer;no answer;5-6 times;Yes;No-gi;Evening;Yes;'0-10';No;No;Pressure Passing;Yes;Yes;one of the focuses;$ 0-50;Yes;3+ hours;Yes;'3-4';'5-6';'3-4';No;$ 0-50;High School/GED;$ 0-25K;18;15-20;Asian/Pacific Islander;Australian;Australia;Yes;Yes;Yes
white belt;Male; 0-2 years;my teammates i get a solid workout without even realising it;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'31-35';No;No;Open Guard;Yes;Only at certain belt levels;not a focus;$101-200;Yes;0-1 hour;Yes;'3-4';'3-4';'1-2';Yes;$600+;Master's Degree;$100K+;33;30-35;White/Caucasian;Australian;Australia;Yes;Yes;Yes
blue belt;Male; 6-8 years;technical rolls against someone who can push me; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'31-35';Yes;No;Pressure Passing;Yes;Yes;one of the focuses;$101-200;No;1 hour -2 hours;Yes;'3-4';'3-4';'3-4';No;$ 51-100;Bachelor's Degree;$100K+;39;35-40;Hispanic/Latino;USA;USA;Yes;Yes;Yes
blue belt;Male; 4-6 years;learning drilling techniques that suit my game; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'26-30';No;No;Pressure Passing;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;0-1 hour;Yes;'3-4';'3-4';'1-2';Yes;$401-500;High School/GED;$ 0-25K;31;30-35;White/Caucasian;Canada (via Britain & Japan);Canada;Yes;Yes;Yes
brown belt;Male; 0-2 years;seeing myself improve;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'36-40';No;Yes;Open Guard;Yes;Only at certain belt levels;one of the focuses;$ 51-100;No;0-1 hour;Yes;'1-2';no answer;no answer;No;$ 0-50;Bachelor's Degree;$ 76K-100K;37;35-40;Black/African American;Canadian;Canada;Yes;No;Yes
purple belt;Male; 4-6 years;no answer; 0-2 years; 2-4 years;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'31-35';Yes;No;Open Guard;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;1 hour -2 hours;Yes;'3-4';'7+';'3-4';Yes;$201-300;Ph.D.;$100K+;38;35-40;White/Caucasian;American ;USA;Yes;Yes;Yes
blue belt;Male; 4-6 years;no answer; 2-4 years;no answer;no answer;no answer;1-2 times;Yes;No-gi;Evening;Yes;'16-20';No;No;Closed guard;Yes;Yes;not a focus;$101-200;Yes;1 hour -2 hours;Yes;'5-6';'3-4';'1-2';No;$101-200;Bachelor's Degree;$ 51k-75K;24;20-25;White/Caucasian;no answer;no answer;Yes;Yes;Yes
white belt;Male; 0-2 years;i was going to say it s a toss up between drills and rolling but really all of that is just the learning experience i am constantly going over the way me and my partners are rolling and trying to identify points of failure and areas where i m improving etc the mental workout that gives you on top of the physical one cannot be understated;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Lunch;Yes;'21-25';Yes;No;Open Guard;Yes;Yes;one of the focuses;$101-200;No;1 hour -2 hours;Yes;'1-2';'1-2';'1-2';No;$101-200;High School/GED;$ 0-25K;22;20-25;White/Caucasian;American;USA;Yes;No;No
white belt;Male; 0-2 years;the chess like aspect of it;no answer;no answer;no answer;no answer;5-6 times;Yes;No-gi;Evening;No;'21-25';No;No;Pressure Passing;No;Yes;not a focus;$101-200;No;0-1 hour;Yes;'1-2';'1-2';'1-2';No;$201-300;High School/GED;$ 26K-50K;21;20-25;White/Caucasian;Australian;Australia;Yes;Yes;Yes
purple belt;Male; 6-8 years;working on new techniques; 2-4 years; 2-4 years;no answer;no answer;3-4 times;No;Gi;Morning;Yes;'26-30';No;No;Pressure Passing;No;Yes;not a focus;$ 51-100;No;1 hour -2 hours;Yes;'7+';'7+';'1-2';Yes;$301-400;High School/GED;$ 51k-75K;32;30-35;White/Caucasian;canada;Canada;Yes;no answer;no answer
blue belt;Male; 2-4 years;the cerebral aspects; 2-4 years;no answer;no answer;no answer;1-2 times;No;No-gi;Morning;No;'31-35';No;No;Closed guard;No;Only at certain belt levels;one of the focuses;$ 51-100;Yes;0-1 hour;No;'1-2';'1-2';no answer;No;$ 0-50;Ph.D.;$ 51k-75K;36;35-40;White/Caucasian;USA ;USA;Yes;No;Yes
purple belt;Male; 4-6 years;i enjoy drilling and helping teammates; 0-2 years; 2-4 years;no answer;no answer;5-6 times;No;Gi;Lunch;Yes;'26-30';No;No;Closed guard;Yes;Only at certain belt levels;one of the focuses;$ 51-100;Yes;1 hour -2 hours;Yes;'5-6';'3-4';'3-4';Yes;$101-200;Associate's Degree;$ 0-25K;34;30-35;Hispanic/Latino;US;USA;Yes;Yes;No
white belt;Male; 0-2 years;constantly improving to compete and making such good friends and mentors;no answer;no answer;no answer;no answer;5-6 times;Yes;Gi;Morning;No;'21-25';No;No;Pressure Passing;Yes;Yes;one of the focuses;$ 51-100;No;1 hour -2 hours;Yes;'3-4';'5-6';'1-2';No;$201-300;Associate's Degree;$ 0-25K;23;20-25;White/Caucasian;United states;USA;Yes;Yes;No
purple belt;Male; 4-6 years;rolling; 0-2 years; 2-4 years;no answer;no answer;3-4 times;Yes;No-gi;Lunch;Yes;'26-30';No;No;Pressure Passing;No;Only at certain belt levels;one of the focuses;$101-200;No;0-1 hour;Yes;'3-4';'3-4';'1-2';No;$ 51-100;Ph.D.;$ 76K-100K;32;30-35;White/Caucasian;USA;USA;Yes;Yes;No
blue belt;Male; 8-10 years;getting better; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Morning;no answer;'21-25';Yes;No;Open Guard;Yes;Yes;not a focus;$ 51-100;No;0-1 hour;Yes;'3-4';'3-4';no answer;No;$ 51-100;Bachelor's Degree;$ 0-25K;30;30-35;Hispanic/Latino;South America;USA;Yes;Yes;Yes
white belt;Male; 6-8 years;the self improvement;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'26-30';Yes;No;Leg locking;No;Yes;not a focus;$ 51-100;No;1 hour -2 hours;Yes;'1-2';'7+';'7+';Yes;$301-400;Bachelor's Degree;$ 76K-100K;36;35-40;Native American/American Indian;American;USA;Yes;Yes;No
blue belt;Male; 2-4 years;the people and learning something that can t be taken from me at least as long as my body holds up; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'31-35';No;No;Pressure Passing;Yes;Yes;one of the focuses;$ 0-50;No;1 hour -2 hours;Yes;'7+';'7+';'3-4';Yes;$401-500;Master's Degree;$ 51k-75K;34;30-35;White/Caucasian;American;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;the discipline that comes along with it also the family i have gained from training;no answer;no answer;no answer;no answer;5-6 times;Yes;Gi;Morning;Yes;'21-25';Yes;Yes;Closed guard;Yes;Yes;one of the focuses;$ 51-100;Yes;3+ hours;Yes;'3-4';'3-4';'1-2';Yes;$501-600;High School/GED;$ 0-25K;22;20-25;White/Caucasian;United States ;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;no answer;5-6 times;Yes;Gi;Evening;No;'16-20';Yes;No;Closed guard;Yes;Only at certain belt levels;not a focus;$ 0-50;No;0-1 hour;Yes;'1-2';'1-2';'1-2';No;$ 0-50;High School/GED;$ 0-25K;18;15-20;White/Caucasian;no answer;no answer;Yes;Yes;no answer
blue belt;Male; 0-2 years;conditioning and mental stimulation; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'26-30';No;No;Closed guard;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;1 hour -2 hours;No;'3-4';'5-6';'1-2';No;$101-200;Bachelor's Degree;$100K+;27;25-30;White/Caucasian;American;USA;Yes;Yes;Yes
